"","SampleID","studyid","month","DNA"
"220","5_86",1593,0,80.4
"221","2_57",1598,0,63.6
"222","3_31",1610,0,198
"223","1_79",1623,0,236
"224","3_80",1670,0,122
"225","1_24",1674,0,372
"226","4_33",1704,0,204
"227","2_3",1713,0,131
"228","3_50",1714,0,34.1
"229","2_22",1717,0,57.2
"230","4_39",1721,0,292
"231","5_54",1722,0,33.8
"232","2_61",1729,0,116
"233","4_13",1808,0,216
"234","1_53",1811,0,348
"235","1_86",1830,0,364
"236","6_35",1847,0,73.6
"237","3_76",1851,0,292
"238","1_49",1860,0,200
"239","2_48",1865,0,204
"240","4_56",1866,0,324
"241","1_31",1868,0,90.4
"242","2_37",1873,0,17.3
"243","5_23",1891,0,188
"244","3_22",1892,0,179
"245","7_60",1033,0,17.6
"246","7_2",1039,0,113
"247","4_38",1040,0,204
"248","2_65",1048,0,123
"249","1_48",1069,0,400
"250","7_24",1074,0,204
"251","5_11",1077,0,240
"252","4_23",1088,0,232
"253","2_13",1090,0,85.2
"254","1_28",1096,0,148
"255","6_9",1101,0,48
"256","1_99",1113,0,82
"257","4_1",1114,0,264
"258","2_2",1134,0,150
"259","4_11",1147,0,139
"260","1_92",1163,0,276
"261","4_40",1179,0,184
"262","1_41",1180,0,366.4
"263","1_6",1185,0,314
"264","2_47",1190,0,94.4
"265","2_56",1191,0,284
"266","5_16",1198,0,384
"267","4_35",1212,0,65.6
"268","3_35",1235,0,312
"269","6_12",1289,0,25.6
"270","1_9",1296,0,204
"271","2_38",1299,0,304
"272","7_47",1301,0,48.4
"273","7_59",1305,0,272
"274","2_42",1306,0,26.8
"275","2_87",1314,0,46
"276","1_3",1329,0,98
"277","1_47",1333,0,232
"278","4_93",1337,0,256
"279","2_15",1343,0,36.2
"280","7_39",1373,0,161
"281","7_64",1394,0,208
"282","1_55",1411,0,95.2
"283","1_22",1412,0,240
"284","3_89",1418,0,356
"285","5_18",1420,0,520
"286","5_31",1446,0,240
"287","1_69",1452,0,43.2
"288","2_67",1464,0,300
"289","2_88",1471,0,170
"290","2_43",1515,0,78.4
"291","6_77",1516,0,400
"292","2_74",1535,0,368
"293","3_53",1541,0,340
"294","4_37",1548,0,280
"295","6_88",1562,0,180
"296","5_33",1564,0,276
"297","1_39",1566,0,146
"298","1_73",1589,0,185
"299","7_4",1596,0,424
"300","4_51",1597,0,90
"301","2_28",1627,0,380
"302","1_87",1648,0,92.8
"303","2_62",1653,0,288
"304","2_99",1654,0,300
"305","4_16",1664,0,70.4
"306","4_63",1683,0,20.9
"307","7_51",1684,0,15.9
"308","2_11",1690,0,78.4
"309","6_36",1697,0,14.2
"310","1_37",1699,0,328
"311","3_32",1733,0,292
"312","1_80",1742,0,193
"313","3_12",1765,0,25.2
"314","5_61",1784,0,189
"315","2_97",1796,0,182
"316","1_1",1822,0,270
"317","5_41",1823,0,108
"318","5_14",1831,0,448
"319","1_74",1835,0,392
"320","3_11",1839,0,85.2
"321","4_81",1854,0,32.6
"322","3_52",1858,0,7.04
"323","7_12",1862,0,21.1
"324","4_75",1879,0,128
"325","1_72",1885,0,46
"326","5_73",1036,0,53.2
"327","2_93",1122,0,240
"328","4_87",1156,0,55.2
"329","4_52",1167,0,182
"330","1_5",1201,0,272
"331","3_29",1205,0,55.2
"332","2_76",1276,0,187
"333","3_20",1307,0,372
"334","2_14",1340,0,364
"335","2_72",1378,0,91.2
"336","2_44",1383,0,9.08
"337","3_47",1397,0,256
"338","2_95",1406,0,340
"339","3_62",1457,0,236
"340","4_28",1468,0,28.3
"341","2_58",1517,0,400
"342","4_26",1537,0,256
"343","2_31",1543,0,324
"344","3_38",1605,0,280
"345","3_96",1645,0,368
"346","4_92",1689,0,140
"347","3_56",1710,0,316
"348","3_98",1863,0,380
"349","1_85",1880,0,336
"350","4_61",1131,0,300
"351","4_62",1222,0,28.5
"352","4_79",1476,0,138
"353","4_78",1519,0,280
"354","2_4",1727,0,104
"355","2_19",1877,0,216
"356","3_60",1095,0,101
"357","1_64",1200,0,192
"358","2_32",1217,0,364
"359","4_14",1264,0,252
"360","2_83",1292,0,324
"361","4_91",1609,0,368
"362","1_68",1013,0,280
"363","3_34",1086,0,280
"364","3_4",1293,0,260
"365","5_42",1779,0,136
"366","3_97",1165,0,130
"367","5_65",1875,0,272
"368","3_17",1534,0,71.6
"369","1_13",1601,0,45.6
"370","3_33",1004,0,356
"371","4_29",1007,0,154
"372","4_6",1010,0,18.3
"373","3_93",1015,0,328
"374","2_54",1022,0,220
"375","3_26",1024,0,348
"376","4_25",1025,0,382
"377","6_13",1032,0,190
"378","5_81",1035,0,312
"379","4_84",1037,0,168
"380","5_19",1043,0,53.2
"381","1_34",1053,0,308
"382","4_2",1055,0,480
"383","3_99",1058,0,147
"384","6_3",1087,0,368
"385","3_66",1089,0,380
"386","2_29",1107,0,146
"387","1_23",1116,0,324
"388","2_17",1123,0,296
"389","5_8",1136,0,208
"390","1_94",1197,0,348
"391","3_63",1203,0,11.6
"392","5_80",1208,0,328
"393","3_27",1211,0,368
"394","1_58",1214,0,73.2
"395","4_67",1219,0,376
"396","2_5",1248,0,176
"397","4_44",1254,0,264
"398","6_7",1262,0,66.4
"399","3_75",1272,0,118
"400","5_58",1274,0,364
"401","4_48",1281,0,248
"402","4_47",1315,0,146
"403","2_41",1344,0,316
"404","7_14",1353,0,268
"405","5_84",1361,0,180
"406","4_60",1367,0,244
"407","4_18",1390,0,276
"408","5_57",1393,0,312
"409","4_45",1398,0,20.8
"410","3_87",1400,0,256
"411","4_54",1404,0,204
"412","5_79",1413,0,60.4
"413","3_61",1416,0,244
"414","7_62",1425,0,304
"415","4_66",1429,0,126
"416","5_9",1433,0,376
"417","5_82",1443,0,80.8
"418","5_21",1444,0,272
"419","5_7",1447,0,440
"420","6_6",1491,0,11.1
"421","4_82",1501,0,160
"422","2_66",1507,0,112
"423","4_30",1531,0,256
"424","6_4",1532,0,166
"425","6_16",1538,0,185
"426","3_51",1551,0,44
"427","6_91",1576,0,156
"428","2_73",1577,0,320
"429","2_35",1590,0,400
"430","5_55",1599,0,110
"431","3_15",1603,0,220
"432","4_85",1615,0,366
"433","3_69",1622,0,368
"434","2_91",1624,0,58.4
"435","1_54",1628,0,55.2
"436","5_59",1640,0,188
"437","4_86",1643,0,400
"438","1_61",1667,0,256
"439","3_44",1672,0,184
"440","4_59",1675,0,312
"441","5_34",1679,0,164
"442","1_78",1681,0,328
"443","7_76",1682,0,248
"444","1_65",1692,0,332
"445","2_16",1694,0,376
"446","4_65",1695,0,58
"447","3_2",1705,0,224
"448","3_55",1712,0,400
